,city,country,latitude,longitude,temperature,humidity,cloudiness,windspeed,Hotel Name
102,vostok,RU,46.49,135.88,30.6,69,0,1.01,
117,vanavara,RU,60.34,102.28,31.15,87,0,1.95,
118,saint-augustin,CA,51.23,-58.65,32.99,92,12,9.28,
123,yoichi,JP,43.2,140.77,30.0,42,18,1.86,
147,yerbogachen,RU,61.28,108.01,31.01,89,8,4.54,
166,juneau,US,58.3,-134.42,28.67,92,1,3.36,"Baranof Downtown, BW Signature Collection"
169,prince rupert,CA,54.32,-130.32,35.6,74,1,4.7,Crest Hotel
212,husavik,IS,66.04,-17.34,35.6,43,0,12.75,Arbol
246,severo-yeniseyskiy,RU,60.37,93.04,27.52,89,1,2.39,Aktolik
261,solnechnyy,RU,50.72,136.63,34.95,71,0,1.9,Zarya
337,ust-koksa,RU,50.27,85.61,37.31,48,8,5.06,"Otel' ""Kochevnik"""
341,hofn,IS,64.25,-15.21,33.44,85,24,8.7,Milk Factory
356,iskateley,RU,67.68,53.15,20.1,97,8,6.96,Hostel Agat
399,fort nelson,CA,58.81,-122.7,24.8,58,20,3.36,Lakeview Inns & Suites - Fort Nelson
412,imeni poliny osipenko,RU,52.42,136.49,34.74,80,19,2.95,"Gostinitsa ""Pyat' Zvezd"""
479,nemuro,JP,43.32,145.57,33.57,88,0,9.19,Hotel Nemuro Kaiyoutei
513,onguday,RU,50.75,86.15,38.39,50,0,1.05,Altayskiye Dachi
523,artyshta,RU,54.12,86.29,38.41,64,0,3.98,
